code,FunctionWords
consider,EconomicOperands
issued,EconomicOperands
requiring advance notice,EconomicOperands
existing,EconomicOperands
manages,Attributes
congress finds,EconomicOperands
broader,Attributes
settlement,EconomicOperands
concerned,Attributes
acting,Attributes
critical,Attributes
promoting,EconomicOperands
include,EconomicOperands
oversight,EconomicOperands
resources,EconomicOperands
activities,FunctionWords
jurisdiction,EconomicOperands
confidential,EconomicOperands
condition,EconomicOperands
presented,EconomicOperands
applicable,EconomicOperands
enforce,Attributes
jurisdictional,EconomicOperands
prevent,RegulatoryOperators
findings,EconomicOperands
dealing,EconomicOperands
consistent,EconomicOperands
multilateral,Attributes
functioning,FunctionWords
investment,EconomicOperands
established,Attributes
"sections 2(h)(2)(c), 2(h)(3)(a), 2(h)(3)(c), 2(h)(4)(a)",LegalReferences
section,LegalReferences
uniform,EconomicOperands
3c,LegalReferences
new,FunctionWords
exercise,EconomicOperands
supporting,EconomicOperands
deemed,Attributes
full,EconomicOperands
led,FunctionWords
exchange,EconomicOperands
respectively,LogicalConnectors
modify,EconomicOperands
jointly,FunctionWords
hours,EconomicOperands
operating,Attributes
address,EconomicOperands
consideration,EconomicOperands
change,FunctionWords
obtained,EconomicOperands
exemption,RegulatoryOperators
receive,EconomicOperands
has been,FunctionWords
reports,EconomicOperands
are likely,FunctionWords
prior,Attributes
published,EconomicOperands
action,EconomicOperands
provide notice,EconomicOperands
changes,FunctionWords
appropriately,EconomicOperands
confidentiality,EconomicOperands
complying,EconomicOperands
enactment,LegalReferences
nondelegable,EconomicOperands
apply,EconomicOperands
establish,EconomicOperands
use,EconomicOperands
section 3c(a)(1),LegalReferences
"sections 3c(a)(2)(c), 3c(a)(3)(a), 3c(a)(3)(c), 3c(a)(4)(a)",LegalReferences
financial resource,EconomicOperands
type,EconomicOperands
cited,EconomicOperands
sharing,EconomicOperands
binding,Attributes
behalf,FunctionWords
organizations,EconomicOperands
this,FunctionWords
adjusting,FunctionWords
paragraph,EconomicOperands
making,Attributes
prompt,Attributes
processing,FunctionWords
calculation,EconomicOperands
non-affiliate,EconomicOperands
performed,Attributes
respective,FunctionWords
processors,EconomicOperands
provide,EconomicOperands
imminent,EconomicOperands
provide consistency,EconomicOperands
611,LegalReferences
derived,Attributes
(15 u.s.c. 80a3),LegalReferences
designed,EconomicOperands
insufficient,EconomicOperands
date,EconomicOperands
participant,EconomicOperands
data,EconomicOperands
response,EconomicOperands
order entry,EconomicOperands
commodity,EconomicOperands
borrowing,EconomicOperands
prepared,EconomicOperands
order,EconomicOperands
operations,EconomicOperands
serving,EconomicOperands
soon,FunctionWords
interpreted,EconomicOperands
report,EconomicOperands
(15 u.s.c. 80b2),LegalReferences
committee,EconomicOperands
representatives recommendations,EconomicOperands
group,EconomicOperands
monitor,Attributes
fix,EconomicOperands
writing,EconomicOperands
subparagraph,LegalReferences
submits,EconomicOperands
material,EconomicOperands
number,FunctionWords
warranted,EconomicOperands
soundness,Attributes
not,RegulatoryOperators
rescind,EconomicOperands
assess,EconomicOperands
term,EconomicOperands
designation,EconomicOperands
notified,Attributes
level,FunctionWords
reasonable,EconomicOperands
noncompliance,RegulatoryOperators
mean,FunctionWords
financial,EconomicOperands
house,EconomicOperands
receipt,EconomicOperands
reduce,Attributes
constitute,EconomicOperands
vote,EconomicOperands
frequency,EconomicOperands
trading,EconomicOperands
year,EconomicOperands
operation,EconomicOperands
agriculture,EconomicOperands
borne,EconomicOperands
category,EconomicOperands
waive,Attributes
participants,EconomicOperands
safety,Attributes
receiving,Attributes
forth,FunctionWords
disclose,Attributes
belief,EconomicOperands
enforcing,EconomicOperands
promptly,EconomicOperands
reason,EconomicOperands
members,EconomicOperands
share appropriate reports,EconomicOperands
advance,EconomicOperands
impose,RegulatoryOperators
days,EconomicOperands
ministries,EconomicOperands
conducted,EconomicOperands
deems,Attributes
place,EconomicOperands
25a,LegalReferences
facilitate,EconomicOperands
housing,EconomicOperands
permit,RegulatoryOperators
striking,FunctionWords
clause,LegalReferences
section 25a,LegalReferences
primary,EconomicOperands
thereof,LogicalConnectors
hearing,EconomicOperands
improving,Attributes
notify,Attributes
directly,EconomicOperands
carry,Attributes
have been,FunctionWords
electronic,EconomicOperands
arbitration,EconomicOperands
rejects,EconomicOperands
engagement,EconomicOperands
listed,FunctionWords
majority,EconomicOperands
final,FunctionWords
nutrition,EconomicOperands
explanation,EconomicOperands
immediate,EconomicOperands
consult,EconomicOperands
believe,EconomicOperands
governors participation,EconomicOperands
determines,Attributes
effective,Attributes
urban affairs,EconomicOperands
was,FunctionWords
require,EconomicOperands
data relating,EconomicOperands
were,FunctionWords
resources available,EconomicOperands
providing,EconomicOperands
solely,Attributes
action recommended,EconomicOperands
pre,EconomicOperands
urban,EconomicOperands
argument,EconomicOperands
affirmative,Attributes
case,EconomicOperands
substantial,EconomicOperands
manner,EconomicOperands
have,FunctionWords
assurances,EconomicOperands
orders,EconomicOperands
affairs,FunctionWords
efficient,EconomicOperands
sound,EconomicOperands
recommended,EconomicOperands
concerns,EconomicOperands
take,EconomicOperands
short title,EconomicOperands
recordkeeping,EconomicOperands
added,FunctionWords
unless,LogicalConnectors
transactions,EconomicOperands
significant,EconomicOperands
final settlement,EconomicOperands
precludes,Attributes
class,EconomicOperands
statute,Attributes
mitigate,EconomicOperands
considered,EconomicOperands
later,Attributes
request,EconomicOperands
confidential supervisory,EconomicOperands
assistance,EconomicOperands
fact,EconomicOperands
supporting documentation,EconomicOperands
certification,EconomicOperands
supported,EconomicOperands
pursuant,EconomicOperands
planning,FunctionWords
participate,EconomicOperands
threshold,EconomicOperands
find,FunctionWords
completion,EconomicOperands
be well,FunctionWords
title,EconomicOperands
implementation,EconomicOperands
operational,EconomicOperands
entities,EconomicOperands
only,FunctionWords
achieve,EconomicOperands
do,FunctionWords
means,LogicalConnectors
dependent,Attributes
designated,Attributes
joint,FunctionWords
cannot,RegulatoryOperators
exchanges,EconomicOperands
timing,EconomicOperands
trade,EconomicOperands
procedures,EconomicOperands
areas,FunctionWords
final determination,EconomicOperands
disapproval,EconomicOperands
requesting,EconomicOperands
common,Attributes
recommendations,EconomicOperands
set,FunctionWords
mandatory,RegulatoryOperators
imposing,RegulatoryOperators
national,EconomicOperands
operates,EconomicOperands
are,FunctionWords
enhanced,EconomicOperands
operated,EconomicOperands
subject,EconomicOperands
(12 u.s.c. 601604a,LegalReferences
federal,EconomicOperands
review,EconomicOperands
representatives,EconomicOperands
section 10b,LegalReferences
favor,EconomicOperands
written,EconomicOperands
unable,Attributes
conditions,EconomicOperands
available,EconomicOperands
notice,EconomicOperands
undesignated,Attributes
terms,EconomicOperands
ability,FunctionWords
extend,EconomicOperands
nature,EconomicOperands
premises,EconomicOperands
prescribe,EconomicOperands
sole,LegalReferences
agencies,EconomicOperands
authorizing,EconomicOperands
concentrate,FunctionWords
extent,Attributes
approval,EconomicOperands
exclusion,EconomicOperands
advance notice,EconomicOperands
taking,FunctionWords
participating,EconomicOperands
connection,EconomicOperands
receives,EconomicOperands
section 3c(a),LegalReferences
requests,EconomicOperands
whole,FunctionWords
negotiation,EconomicOperands
relevant,Attributes
governors notifying,EconomicOperands
trade execution,EconomicOperands
maintained,EconomicOperands
described,EconomicOperands
enhancements,EconomicOperands
basis,FunctionWords
create,Attributes
copies,EconomicOperands
been,FunctionWords
mitigate significant,EconomicOperands
governors concurrently,EconomicOperands
maintenance,EconomicOperands
duties,EconomicOperands
website,EconomicOperands
settling,EconomicOperands
controlled,EconomicOperands
sufficient,EconomicOperands
transferring,EconomicOperands
determination,EconomicOperands
personally,EconomicOperands
present,EconomicOperands
quotation,EconomicOperands
applied,Attributes
contemplated,FunctionWords
act,FunctionWords
technical,EconomicOperands
supervisory reports,EconomicOperands
counterparties,EconomicOperands
engaged,Attributes
3c(a)(4)(b),LegalReferences
substantial harm,EconomicOperands
develop,EconomicOperands
same,FunctionWords
copying,Attributes
party,EconomicOperands
meets,Attributes
used,Attributes
counterparty,EconomicOperands
governors,EconomicOperands
present important,EconomicOperands
reporting,EconomicOperands
robust,Attributes
prescribed,Attributes
safe,Attributes
transaction,EconomicOperands
supersede,Attributes
programs,EconomicOperands
analysis,EconomicOperands
materials,EconomicOperands
consistency,EconomicOperands
coordinate,RegulatoryOperators
organization,EconomicOperands
the,FunctionWords
stringent,EconomicOperands
proposed,EconomicOperands
organizations operating,EconomicOperands
coordination,RegulatoryOperators
poses,Attributes
disseminate,EconomicOperands
exercising,EconomicOperands
rescission,EconomicOperands
complete copy,EconomicOperands
potential,FunctionWords
instrument,EconomicOperands
exempt,RegulatoryOperators
has,FunctionWords
federal register,EconomicOperands
designate,EconomicOperands
amended,RegulatoryOperators
format,EconomicOperands
2(h)(4)(b),LegalReferences
execution,EconomicOperands
necessary,Attributes
reasonable assurances,EconomicOperands
follows,LogicalConnectors
incidental,EconomicOperands
annually,EconomicOperands
continue,EconomicOperands
become,FunctionWords
security,EconomicOperands
amendment,RegulatoryOperators
performing,Attributes
senate,EconomicOperands
recommendation,EconomicOperands
proper,EconomicOperands
specific,Attributes
rulemaking,FunctionWords
notification,EconomicOperands
decision,EconomicOperands
does,FunctionWords
refer,Attributes
be,FunctionWords
pose,FunctionWords
continuing,EconomicOperands
divest,Attributes
brokerage,EconomicOperands
relating,LogicalConnectors
affording,Attributes
publishing,FunctionWords
comparison,Attributes
conducting,Attributes
carried,Attributes
extension,Attributes
completing,Attributes
mutually,EconomicOperands
ensure,RegulatoryOperators
practicable,EconomicOperands
testimony,EconomicOperands
data repositories,EconomicOperands
processor,EconomicOperands
therein,LogicalConnectors
consulting,FunctionWords
own,FunctionWords
communication,EconomicOperands
spreading,Attributes
integral,EconomicOperands
administer,EconomicOperands
authorities,EconomicOperands
appropriate,EconomicOperands
furnishing,EconomicOperands
determine,FunctionWords
utility,EconomicOperands
support,EconomicOperands
submit,RegulatoryOperators
why,FunctionWords
consultation,EconomicOperands
authorized,RegulatoryOperators
sections,LegalReferences
oversight programs,EconomicOperands
complete,EconomicOperands
form,EconomicOperands
offer,EconomicOperands
unsettled,EconomicOperands
registered,EconomicOperands
extended,Attributes
delivery,EconomicOperands
execution facilities registered,EconomicOperands
promote,EconomicOperands
provide confidential supervisory,EconomicOperands
alternative trading,EconomicOperands
netting,EconomicOperands
demonstrate,EconomicOperands
similar,Attributes
agree,Attributes
be taken,FunctionWords
detailed,FunctionWords
strengthening,EconomicOperands
associated,EconomicOperands
(15 u.s.c. 80a2),LegalReferences
general,EconomicOperands
examine,EconomicOperands
dealer,EconomicOperands
effected,Attributes
assessing,EconomicOperands
entity,EconomicOperands
forestry,EconomicOperands
branch,EconomicOperands
requested,EconomicOperands
permitting,Attributes
congress,EconomicOperands
provided,Attributes
utilities,FunctionWords
stay,Attributes
included,EconomicOperands
utilitys operations,EconomicOperands
longer,FunctionWords
waived,RegulatoryOperators
required,EconomicOperands
portion,EconomicOperands
time,EconomicOperands
international,EconomicOperands
oral,Attributes
commencement,EconomicOperands
waiver,Attributes
