id_orig_file,id_tmp,id_regulation
10_node_list_wgt-13571420728266,0,21
10_node_list_wgt-14053216032245,1,37
10_node_list_wgt-10259704534315,2,25
10_node_list_wgt-27434846422540,3,39
10_node_list_wgt-10040708928827,4,1
10_node_list_wgt-1008387805542,5,13
10_node_list_wgt-1620278663712,6,11
10_node_list_wgt-10161285582939,7,18
10_node_list_wgt-10079245105729,8,9
10_node_list_wgt-30623616881414,9,4
10_node_list_wgt-1991798796009,10,26
10_node_list_wgt-10038616673167,11,31
10_node_list_wgt-28137160213779,12,7
10_node_list_wgt-10163467851924,13,23
10_node_list_wgt-10390467934644,14,19
10_node_list_wgt-18716169949551,15,3
10_node_list_wgt-11506049371702,16,12
10_node_list_wgt-10075469052254,17,2
10_node_list_wgt-1006766552016,18,20
10_node_list_wgt-10054446624107,19,5
10_node_list_wgt-10052557328512,20,30
10_node_list_wgt-10043612426734,21,17
10_node_list_wgt-10534428710198,22,33
10_node_list_wgt-18329725010376,23,38
10_node_list_wgt-27247107356107,24,15
10_node_list_wgt-17521951595774,25,14
10_node_list_wgt-10140208114834,26,29
10_node_list_wgt-11446938675121,27,28
10_node_list_wgt-12453801532713,28,36
10_node_list_wgt-22951674228863,29,10
10_node_list_wgt-31068621722674,30,16
10_node_list_wgt-19049225143889,31,22
10_node_list_wgt-19836146123187,32,34
10_node_list_wgt-10435934351284,33,35
10_node_list_wgt-15813850865182,34,27
10_node_list_wgt-1044054429420,35,24
10_node_list_wgt-10075708780063,36,6
10_node_list_wgt-1004149716850,37,8
10_node_list_wgt-25642313480110,38,32
10_node_list_wgt-10574910676526,39,0